iter	Passed	Remaining
597	2077	1396
598	2079	1392
599	2080	1387
600	2081	1382
601	2082	1377
602	2088	1374
603	2089	1369
604	2090	1365
605	2092	1360
606	2093	1355
607	2097	1352
608	2102	1349
609	2104	1345
610	2107	1341
611	2109	1337
612	2111	1332
613	2113	1328
614	2118	1326
615	2121	1322
616	2122	1317
617	2124	1312
618	2125	1308
619	2126	1303
620	2128	1298
621	2131	1295
622	2133	1290
623	2134	1286
624	2136	1281
625	2138	1277
626	2139	1272
627	2142	1269
628	2148	1267
629	2153	1264
630	2155	1260
631	2157	1256
632	2159	1251
633	2163	1249
634	2165	1244
635	2167	1240
636	2168	1235
637	2169	1230
638	2170	1226
639	2172	1221
640	2174	1217
641	2179	1215
642	2180	1210
643	2181	1206
644	2183	1201
645	2184	1197
646	2186	1192
647	2187	1188
648	2188	1183
649	2190	1179
650	2194	1176
651	2195	1171
652	2197	1167
653	2198	1163
654	2199	1158
655	2200	1154
656	2201	1149
657	2203	1145
658	2204	1140
659	2205	1136
660	2207	1132
661	2209	1127
662	2211	1123
663	2212	1119
664	2214	1115
665	2216	1111
666	2217	1107
667	2221	1104
668	2223	1099
669	2224	1095
670	2225	1091
671	2226	1086
672	2227	1082
673	2229	1078
674	2230	1074
675	2238	1073
676	2243	1070
677	2244	1065
678	2246	1061
679	2247	1057
680	2248	1053
681	2250	1049
682	2251	1045
683	2253	1041
684	2255	1037
685	2256	1032
686	2258	1029
687	2260	1024
688	2261	1020
689	2265	1017
690	2267	1013
691	2268	1009
692	2269	1005
693	2270	1001
694	2272	997
695	2273	992
696	2274	988
697	2275	984
698	2280	982
699	2281	977
700	2282	973
701	2283	969
702	2285	965
703	2286	961
704	2289	958
705	2296	956
706	2300	953
707	2305	950
708	2306	946
709	2313	945
710	2315	941
711	2317	937
712	2319	933
713	2321	929
714	2327	927
715	2328	923
716	2331	920
717	2332	916
718	2334	912
719	2336	908
720	2341	906
721	2343	902
722	2345	898
723	2347	894
724	2349	891
725	2351	887
726	2357	885
727	2359	881
728	2362	878
729	2364	874
730	2366	870
731	2368	867
732	2374	864
733	2380	862
734	2382	858
735	2383	855
736	2389	852
737	2391	849
738	2393	845
739	2397	842
740	2399	838
741	2404	835
742	2406	832
743	2408	828
744	2411	825
745	2413	821
746	2418	819
747	2420	815
748	2422	811
749	2425	808
750	2426	804
751	2429	801
752	2434	798
753	2436	794
754	2438	791
755	2440	787
756	2442	784
757	2444	780
758	2450	778
759	2452	774
760	2455	771
761	2457	767
762	2459	764
763	2463	760
764	2465	757
765	2469	754
766	2473	751
767	2478	748
768	2482	745
769	2485	742
770	2492	740
771	2494	736
772	2496	733
773	2505	731
774	2508	728
775	2510	724
776	2512	721
777	2513	717
778	2515	713
779	2521	711
780	2523	707
781	2527	704
782	2529	701
783	2531	697
784	2533	693
785	2535	690
786	2536	686
787	2537	682
788	2539	679
789	2540	675
790	2541	671
791	2543	667
792	2550	665
793	2552	662
794	2554	658
795	2555	654
796	2556	651
797	2557	647
798	2558	643
799	2564	641
800	2566	637
801	2567	633
802	2568	630
803	2569	626
804	2570	622
805	2572	619
806	2573	615
807	2578	612
808	2581	609
809	2583	605
810	2584	602
811	2585	598
812	2587	595
813	2588	591
814	2590	588
815	2592	584
816	2594	581
817	2595	577
818	2597	573
819	2598	570
820	2599	566
821	2604	564
822	2606	560
823	2608	557
824	2609	553
825	2611	550
826	2613	546
827	2614	543
828	2619	540
829	2623	537
830	2626	534
831	2628	530
832	2629	527
833	2635	524
834	2637	521
835	2638	517
836	2640	514
837	2641	510
838	2642	507
839	2645	503
840	2650	501
841	2652	497
842	2653	494
843	2655	490
844	2657	487
845	2659	484
846	2660	480
847	2666	477
848	2668	474
849	2670	471
850	2672	467
851	2674	464
852	2675	461
853	2681	458
854	2684	455
855	2686	451
856	2688	448
857	2690	445
858	2691	441
859	2698	439
860	2700	435
861	2701	432
862	2703	429
863	2705	425
864	2706	422
865	2711	419
866	2713	416
867	2715	412
868	2716	409
869	2718	406
870	2719	402
871	2720	399
872	2721	395
873	2727	393
874	2729	389
875	2731	386
876	2732	383
877	2734	379
878	2735	376
879	2736	373
880	2741	370
881	2744	367
882	2745	363
883	2747	360
884	2749	357
885	2750	353
886	2752	350
887	2758	347
888	2760	344
889	2763	341
890	2766	338
891	2767	335
892	2772	332
893	2775	329
894	2777	325
895	2779	322
896	2780	319
897	2782	316
898	2788	313
899	2790	310
900	2792	306
901	2793	303
902	2794	300
903	2795	296
904	2796	293
905	2798	290
906	2803	287
907	2805	284
908	2806	280
909	2807	277
910	2809	274
911	2811	271
912	2812	267
913	2813	264
914	2820	261
915	2821	258
916	2822	255
917	2824	252
918	2825	249
919	2826	245
920	2827	242
921	2829	239
922	2834	236
923	2836	233
924	2838	230
925	2839	226
926	2840	223
927	2842	220
928	2843	217
929	2848	214
930	2850	211
931	2852	208
932	2854	204
933	2856	201
934	2862	198
935	2865	195
936	2873	193
937	2875	190
938	2877	186
939	2878	183
940	2879	180
941	2881	177
942	2882	174
943	2883	171
944	2885	167
945	2890	164
946	2895	162
947	2896	158
948	2898	155
949	2900	152
950	2905	149
951	2906	146
952	2907	143
953	2908	140
954	2910	137
955	2911	134
956	2915	131
957	2924	128
958	2925	125
959	2927	121
960	2930	118
961	2932	115
962	2939	112
963	2940	109
964	2941	106
965	2943	103
966	2944	100
967	2946	97
968	2947	94
969	2951	91
970	2953	88
971	2954	85
972	2956	82
973	2958	78
974	2959	75
975	2961	72
976	2962	69
977	2968	66
978	2969	63
979	2972	60
980	2973	57
981	2974	54
982	2975	51
983	2977	48
984	2978	45
985	2984	42
986	2985	39
987	2986	36
988	2987	33
989	2989	30
990	2990	27
991	2991	24
992	2993	21
993	2997	18
994	3000	15
995	3001	12
996	3003	9
997	3004	6
998	3005	3
999	3006	0
